Country or region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity
Finland,1.34,1.587,0.986,0.596,0.153
Denmark,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252
Norway,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271
Iceland,1.38,1.624,1.026,0.591,0.354
Netherlands,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322
Switzerland,1.452,1.526,1.052,0.5720000000000001,0.263
Sweden,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267
New Zealand,1.3030000000000002,1.557,1.026,0.585,0.33
Canada,1.365,1.505,1.0390000000000001,0.584,0.285
Austria,1.376,1.475,1.016,0.532,0.244
Australia,1.3719999999999999,1.548,1.036,0.557,0.332
Costa Rica,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002
Israel,1.276,1.455,1.0290000000000001,0.371,0.261
Luxembourg,1.609,1.479,1.012,0.526,0.19399999999999998
United Kingdom,1.3330000000000002,1.538,0.996,0.45,0.348
Ireland,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298
Germany,1.3730000000000002,1.454,0.987,0.495,0.261
Belgium,1.3559999999999999,1.504,0.986,0.473,0.16
United States,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.28
Czech Republic,1.2690000000000001,1.4869999999999999,0.92,0.457,0.046
United Arab Emirates,1.5030000000000001,1.31,0.825,0.598,0.262
Malta,1.3,1.52,0.9990000000000001,0.564,0.375
Mexico,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001
France,1.324,1.472,1.045,0.436,0.111
Taiwan,1.368,1.43,0.914,0.35100000000000003,0.242
Chile,1.159,1.369,0.92,0.35700000000000004,0.187
Guatemala,0.8,1.2690000000000001,0.746,0.535,0.175
Saudi Arabia,1.403,1.357,0.795,0.439,0.08
Qatar,1.6840000000000002,1.3130000000000002,0.871,0.555,0.22
Spain,1.286,1.484,1.062,0.36200000000000004,0.153
Panama,1.149,1.442,0.91,0.516,0.109
Brazil,1.004,1.439,0.802,0.39,0.099
Uruguay,1.124,1.465,0.8909999999999999,0.523,0.127
Singapore,1.5719999999999998,1.463,1.141,0.556,0.271
El Salvador,0.794,1.242,0.789,0.43,0.09300000000000001
Italy,1.294,1.4880000000000002,1.0390000000000001,0.231,0.158
Bahrain,1.3619999999999999,1.368,0.871,0.536,0.255
Slovakia,1.246,1.504,0.8809999999999999,0.33399999999999996,0.121
Trinidad & Tobago,1.2309999999999999,1.4769999999999999,0.713,0.489,0.185
Poland,1.206,1.4380000000000002,0.884,0.483,0.11699999999999999
Uzbekistan,0.745,1.5290000000000001,0.7559999999999999,0.631,0.322
Lithuania,1.238,1.515,0.818,0.29100000000000004,0.043
Colombia,0.985,1.41,0.841,0.47,0.099
Slovenia,1.258,1.5230000000000001,0.953,0.564,0.14400000000000002
Nicaragua,0.6940000000000001,1.325,0.835,0.435,0.2
Kosovo,0.882,1.232,0.758,0.489,0.262
Argentina,1.092,1.432,0.8809999999999999,0.47100000000000003,0.066
Romania,1.162,1.232,0.825,0.462,0.083
Cyprus,1.263,1.2229999999999999,1.042,0.406,0.19
Ecuador,0.912,1.3119999999999998,0.868,0.498,0.126
Kuwait,1.5,1.319,0.8079999999999999,0.493,0.142
Thailand,1.05,1.409,0.828,0.557,0.359
Latvia,1.187,1.465,0.812,0.264,0.075
South Korea,1.301,1.219,1.036,0.159,0.175
Estonia,1.237,1.528,0.8740000000000001,0.495,0.10300000000000001
Jamaica,0.831,1.4780000000000002,0.831,0.49,0.107
Mauritius,1.12,1.402,0.7979999999999999,0.498,0.215
Japan,1.327,1.419,1.088,0.445,0.069
Honduras,0.642,1.236,0.828,0.507,0.24600000000000002
Kazakhstan,1.173,1.508,0.7290000000000001,0.41,0.146
Bolivia,0.7759999999999999,1.209,0.706,0.511,0.13699999999999998
Hungary,1.2009999999999998,1.41,0.828,0.19899999999999998,0.081
Paraguay,0.855,1.475,0.777,0.514,0.184
Northern Cyprus,1.263,1.252,1.042,0.41700000000000004,0.191
Peru,0.96,1.274,0.8540000000000001,0.455,0.083
Portugal,1.2209999999999999,1.431,0.9990000000000001,0.508,0.047
Pakistan,0.677,0.8859999999999999,0.535,0.313,0.22
Russia,1.183,1.452,0.726,0.33399999999999996,0.08199999999999999
Philippines,0.807,1.2930000000000001,0.657,0.5579999999999999,0.11699999999999999
Serbia,1.004,1.383,0.8540000000000001,0.282,0.13699999999999998
Moldova,0.685,1.328,0.7390000000000001,0.245,0.18100000000000002
Libya,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004,0.133
Montenegro,1.051,1.361,0.871,0.19699999999999998,0.142
Tajikistan,0.493,1.0979999999999999,0.718,0.389,0.23
Croatia,1.155,1.266,0.914,0.29600000000000004,0.11900000000000001
Hong Kong,1.4380000000000002,1.2770000000000001,1.122,0.44,0.258
